snapped_at,price,market_cap,total_volume
2018-02-09 00:00:00 UTC,1.4315160698042066,0.0,139049971.4676044
2018-02-10 00:00:00 UTC,1.5800597825313885,0.0,310671490.6629956
2018-02-11 00:00:00 UTC,1.5653095026033423,0.0,129463650.80605228
2018-02-12 00:00:00 UTC,1.5558420633793952,0.0,109554788.3744131
2018-02-13 00:00:00 UTC,1.5709754063966355,0.0,112378928.97171287
2018-02-14 00:00:00 UTC,2.2548536881976835,0.0,227317310.20602387
2018-02-15 00:00:00 UTC,2.7436549449372043,0.0,332608505.6421182
2018-02-16 00:00:00 UTC,2.3676010005878942,0.0,280891168.055146
2018-02-17 00:00:00 UTC,2.495695570804271,0.0,185673398.01537302
2018-02-18 00:00:00 UTC,2.5585715252154846,0.0,158412087.93057323
2018-02-19 00:00:00 UTC,2.359511955960476,0.0,141271527.30442908
2018-02-20 00:00:00 UTC,2.500877683128394,0.0,137463517.37538007
2018-02-21 00:00:00 UTC,2.5441437243367284,0.0,152887464.66281182
2018-02-22 00:00:00 UTC,2.1906120198781758,0.0,162282688.10544175
2018-02-23 00:00:00 UTC,2.1863872748197255,0.0,162316320.95788833
2018-02-24 00:00:00 UTC,2.3108682427911407,0.0,172553866.94952506
2018-02-25 00:00:00 UTC,2.2673478358065076,0.0,162744750.94084606
2018-02-26 00:00:00 UTC,2.2683048572542672,0.0,126720314.06498823
2018-02-27 00:00:00 UTC,2.317667135071391,0.0,121464802.71779557
2018-02-28 00:00:00 UTC,2.575533135382482,0.0,226460837.63868684
2018-03-01 00:00:00 UTC,2.246521003716927,0.0,211573546.34045428
2018-03-02 00:00:00 UTC,2.2800203008951,0.0,147671030.4292772
2018-03-03 00:00:00 UTC,2.191901731045602,0.0,151383136.4338425
2018-03-04 00:00:00 UTC,2.1942260332013572,0.0,104808866.36210395
2018-03-05 00:00:00 UTC,2.1544217625352253,0.0,107434142.72009121
2018-03-06 00:00:00 UTC,2.249842802848062,0.0,87214251.29152645
2018-03-07 00:00:00 UTC,2.1013102224087694,0.0,131570385.32268225
2018-03-08 00:00:00 UTC,1.8213437665244203,0.0,124555837.38483259
2018-03-09 00:00:00 UTC,1.6234487406597884,0.0,156934045.41107172
2018-03-10 00:00:00 UTC,1.622858149667369,0.0,112539852.09129283
2018-03-11 00:00:00 UTC,1.5910241396826665,0.0,55253903.16666513
2018-03-12 00:00:00 UTC,1.7285543925894082,0.0,56356015.79671607
2018-03-13 00:00:00 UTC,1.6808058078561787,0.0,121848914.46324138
2018-03-14 00:00:00 UTC,1.664204670622685,0.0,73304242.8346404
2018-03-15 00:00:00 UTC,1.50292532905591,0.0,78128419.61685036
2018-03-16 00:00:00 UTC,1.506985514610193,0.0,81119175.25558084
2018-03-17 00:00:00 UTC,1.5409613608839008,0.0,70343509.29059567
2018-03-18 00:00:00 UTC,1.4558337741546763,0.0,57059267.68418729
2018-03-19 00:00:00 UTC,1.3786365102872402,0.0,78263305.59640019
2018-03-20 00:00:00 UTC,1.506534215593844,0.0,74394828.32645154
