snapped_at,price,market_cap,total_volume
2019-01-18 00:00:00 UTC,0.030036851817076635,0.0,145659.79855918378
2019-01-19 00:00:00 UTC,0.03011789358787168,0.0,82381.42257214976
2019-01-20 00:00:00 UTC,0.0320567361939925,0.0,210534.26488389645
2019-01-21 00:00:00 UTC,0.02778023516491729,0.0,206652.85882801877
2019-01-22 00:00:00 UTC,0.027645553022351006,0.0,119727.28357393695
2019-01-23 00:00:00 UTC,0.02583657257261784,0.0,158632.10102625116
2019-01-24 00:00:00 UTC,0.019922380002946695,0.0,250362.22811970222
2019-01-25 00:00:00 UTC,0.01746195546702197,0.0,158413.7677110253
2019-01-26 00:00:00 UTC,0.01662980202506554,0.0,292959.3748842825
2019-01-27 00:00:00 UTC,0.016007261170233975,0.0,172557.31187571774
2019-01-28 00:00:00 UTC,0.015526642801221277,0.0,125572.51514219365
2019-01-29 00:00:00 UTC,0.019724905367019773,0.0,268006.83064189716
2019-01-30 00:00:00 UTC,0.013152291537839473,0.0,125153.24016565726
2019-01-31 00:00:00 UTC,0.01279661897532564,0.0,2655.1953068684243
2019-02-01 00:00:00 UTC,0.014994415205112212,0.0,948.5377662050532
2019-02-02 00:00:00 UTC,0.021117773619818807,0.0,9588.022509066577
2019-02-03 00:00:00 UTC,0.027926874199795164,0.0,10706.023157537393
2019-02-04 00:00:00 UTC,0.018885361676114022,0.0,37.04386355203777
2019-02-05 00:00:00 UTC,0.2056385124183981,0.0,775.7951421658473
2019-02-06 00:00:00 UTC,0.02248547756953383,0.0,52.46071931332742
2019-02-07 00:00:00 UTC,0.14955508668379777,0.0,1067.2701286092338
2019-02-08 00:00:00 UTC,0.02684156322775277,0.0,29219.422699191186
2019-02-09 00:00:00 UTC,0.15924382917581717,0.0,1165.1249128219076
2019-02-10 00:00:00 UTC,0.21723132862605596,0.0,819.5303860759167
2019-02-11 00:00:00 UTC,0.019486733799057302,0.0,4431.378166299232
2019-02-12 00:00:00 UTC,0.01938484708894668,0.0,2331.747621818251
2019-02-13 00:00:00 UTC,0.01929448760420815,0.0,16092.39893383633
2019-02-14 00:00:00 UTC,0.018994168653655562,0.0,6749.727094851452
2019-02-15 00:00:00 UTC,0.014990554676087165,0.0,1325.8987130855062
2019-02-16 00:00:00 UTC,0.01519588248577635,0.0,4675.639797297395
2019-02-17 00:00:00 UTC,0.019869613719945257,0.0,19019.2387725881
2019-02-18 00:00:00 UTC,0.019958998614274637,0.0,12733.825875215876
2019-02-19 00:00:00 UTC,0.01777181114956755,0.0,10649.879163087435
2019-02-20 00:00:00 UTC,0.016896594153286516,0.0,9343.689183344122
2019-02-21 00:00:00 UTC,0.015923609306697388,0.0,6409.661696079913
2019-02-22 00:00:00 UTC,0.011800614061092764,0.0,4935.021192537547
2019-02-23 00:00:00 UTC,0.012022231123845675,0.0,5443.718056671234
2019-02-24 00:00:00 UTC,0.011998824281267572,0.0,415.70662250379945
2019-02-25 00:00:00 UTC,0.012197005693516559,0.0,9471.463523306085
2019-02-26 00:00:00 UTC,0.22720896106171704,0.0,857.1721618448106
2019-02-27 00:00:00 UTC,0.03940284897437927,0.0,7259.974296471608
2019-02-28 00:00:00 UTC,0.0332334063074671,0.0,10410.445391495494
2019-03-01 00:00:00 UTC,0.015808308888442348,0.0,15037.410214605827
2019-03-02 00:00:00 UTC,0.014200795359288684,0.0,3539.6067306984714
2019-03-03 00:00:00 UTC,0.016901555847148225,0.0,8777.322898657669
2019-03-04 00:00:00 UTC,0.014909606401487748,0.0,2248.4673469387303
2019-03-05 00:00:00 UTC,0.014511277961575886,0.0,5268.1081100888705
2019-03-06 00:00:00 UTC,0.01450882244228261,0.0,6653.543263468934
2019-03-07 00:00:00 UTC,0.014001697909739872,0.0,4745.594360813321
2019-03-08 00:00:00 UTC,0.03539575039393511,0.0,8309.895802487883
2019-03-09 00:00:00 UTC,0.013829240395310496,0.0,5223.49103821459
2019-03-10 00:00:00 UTC,0.01387495323827134,0.0,5500.092446845232
2019-03-11 00:00:00 UTC,0.09146590392123768,0.0,2476.2341668780155
2019-03-12 00:00:00 UTC,0.013798294184793489,0.0,5824.3388298929385
2019-03-13 00:00:00 UTC,0.014001184747912628,0.0,6817.525298443243
2019-03-14 00:00:00 UTC,0.013881672256209341,0.0,7106.456691216499
2019-03-15 00:00:00 UTC,0.013508148260902296,0.0,5792.54877847555
2019-03-16 00:00:00 UTC,0.013499904638764978,0.0,10785.554876911201
2019-03-17 00:00:00 UTC,0.013783969557516268,0.0,5928.746463288571
2019-03-18 00:00:00 UTC,0.013111327998901946,0.0,3933.4298668577812
2019-03-19 00:00:00 UTC,0.013684669226380662,0.0,112.15470186957593
2019-03-20 00:00:00 UTC,0.013114119685739542,0.0,15736.946507993782
2019-03-21 00:00:00 UTC,0.013292990435108568,0.0,8453.854228813161
2019-03-22 00:00:00 UTC,0.012918634226035624,0.0,5424.154179169564
2019-03-23 00:00:00 UTC,0.012596055230196567,0.0,7106.512599799931
2019-03-24 00:00:00 UTC,0.012966164990718183,0.0,8249.822060678038
2019-03-25 00:00:00 UTC,0.012515965635583623,0.0,11722.134930522865
2019-03-26 00:00:00 UTC,0.012531202971210229,0.0,5012.806999761343
2019-03-27 00:00:00 UTC,0.018078255145887928,0.0,8730.318018393067
2019-03-28 00:00:00 UTC,0.23832350060670857,0.0,899.1030515648785
2019-03-29 00:00:00 UTC,0.013793061175169727,0.0,2759.239226215785
2019-03-30 00:00:00 UTC,0.01328514058147064,0.0,13316.867519177587
